geometry,count
"{""type"":""Polygon"",""coordinates"":[[[116.426157,39.921019],[116.426184,39.920355],[116.427037,39.920352],[116.4271,39.920352],[116.427024,39.921023]]]}",21
"{""type"":""Polygon"",""coordinates"":[[[116.331727,40.093389],[116.33197,40.092561],[116.332563,40.09086],[116.332657,40.090643],[116.334297,40.090767],[116.335922,40.090929],[116.338033,40.091139],[116.338887,40.091226],[116.338559,40.092633],[116.338361,40.093723],[116.338348,40.094037],[116.338348,40.094037]]]}",78
"{""type"":""Polygon"",""coordinates"":[[[116.680894,40.129337],[116.680889,40.127399],[116.680939,40.126269],[116.683661,40.126224],[116.686001,40.126186],[116.686315,40.127158],[116.685686,40.127434],[116.684878,40.127862],[116.684155,40.128258],[116.683706,40.128534],[116.681994,40.130034]]]}",0
"{""type"":""Polygon"",""coordinates"":[[[116.291002,39.958578],[116.291042,39.957084],[116.293602,39.956476],[116.293701,39.956486],[116.2938,39.956542],[116.29468,39.956379],[116.294604,39.95856]]]}",75
"{""type"":""Polygon"",""coordinates"":[[[115.999115,39.701708],[115.999111,39.701455],[115.999731,39.701413],[115.999731,39.701028],[116.000229,39.700997],[116.000162,39.702017],[115.999466,39.702055],[115.99947,39.701684]]]}",60
"{""type"":""Polygon"",""coordinates"":[[[116.409787,39.959187],[116.410582,39.95919],[116.411062,39.959173],[116.41108,39.959173],[116.411049,39.958623],[116.410999,39.957877],[116.409962,39.957873],[116.409513,39.957884],[116.408938,39.957873],[116.408933,39.958706],[116.408929,39.959145],[116.408933,39.959176],[116.409719,39.959149]]]}",12
"{""type"":""Polygon"",""coordinates"":[[[116.27955,39.876593],[116.278054,39.875437],[116.278014,39.874118],[116.280345,39.874032],[116.280376,39.874696],[116.28034,39.874863],[116.280354,39.875032],[116.280268,39.875406],[116.279842,39.876164]]]}",87
"{""type"":""Polygon"",""coordinates"":[[[116.500118,39.970016],[116.500846,39.970655],[116.501017,39.970676],[116.503258,39.970894],[116.503622,39.970652],[116.502144,39.9693],[116.501686,39.968996]]]}",10
"{""type"":""Polygon"",""coordinates"":[[[116.488845,39.997662],[116.4881,39.996988],[116.486573,39.995613],[116.487997,39.994698],[116.488666,39.995385],[116.490512,39.997095],[116.490687,39.997265],[116.489888,39.997759]]]}",6
"{""type"":""Polygon"",""coordinates"":[[[116.377754,39.894711],[116.377974,39.894728],[116.379043,39.894756],[116.379488,39.894767],[116.379506,39.894767],[116.379474,39.894317],[116.379479,39.893614],[116.379461,39.892867],[116.379456,39.892715],[116.379183,39.892736],[116.378756,39.892739],[116.378527,39.892739],[116.378266,39.892729],[116.378078,39.892739],[116.377871,39.892742],[116.37784,39.89277],[116.377795,39.893625]]]}",43
"{""type"":""Polygon"",""coordinates"":[[[116.850797,40.396322],[116.850631,40.394804],[116.853407,40.394797],[116.853398,40.39706],[116.851844,40.39704],[116.851619,40.396981]]]}",12
"{""type"":""Polygon"",""coordinates"":[[[116.419302,39.902933],[116.420402,39.902916],[116.420497,39.902912],[116.420501,39.902251],[116.420492,39.902141],[116.420977,39.901985],[116.42095,39.901483],[116.420937,39.900954],[116.420914,39.900774],[116.421723,39.900729],[116.421727,39.899913],[116.421247,39.899927],[116.420775,39.899927],[116.420452,39.899927],[116.419881,39.899933],[116.419589,39.899933],[116.41941,39.89994],[116.419369,39.899947],[116.419432,39.900072],[116.419432,39.900186],[116.419414,39.900435],[116.419392,39.900778],[116.419369,39.900937],[116.419333,39.901106],[116.419302,39.90131],[116.419279,39.901743],[116.419257,39.902168],[116.419248,39.902632],[116.419234,39.902833],[116.419243,39.902888]]]}",52
"{""type"":""Polygon"",""coordinates"":[[[116.421044,40.067174],[116.421273,40.064593],[116.423083,40.06462],[116.422818,40.067198]]]}",82
"{""type"":""Polygon"",""coordinates"":[[[116.443653,40.03633],[116.443622,40.035132],[116.443608,40.034607],[116.445495,40.034607],[116.446717,40.034573],[116.447992,40.034542],[116.44801,40.036855],[116.448069,40.038067],[116.443743,40.038201]]]}",2
"{""type"":""Polygon"",""coordinates"":[[[116.432441,40.109323],[116.432135,40.106495],[116.434655,40.106584],[116.434354,40.10933]]]}",56
"{""type"":""Polygon"",""coordinates"":[[[116.512352,39.775303],[116.512181,39.774665],[116.511269,39.772426],[116.515437,39.771289],[116.516179,39.773289],[116.516529,39.774235]]]}",10
"{""type"":""Polygon"",""coordinates"":[[[116.117493,39.938339],[116.117906,39.93706],[116.119541,39.937416],[116.119195,39.938689]]]}",19
"{""type"":""Polygon"",""coordinates"":[[[116.380733,39.95852],[116.381384,39.958503],[116.381766,39.958472],[116.381716,39.957722],[116.381725,39.957207],[116.381734,39.957162],[116.381397,39.957158],[116.380975,39.957151],[116.380755,39.957155],[116.380719,39.957155]]]}",82
"{""type"":""Polygon"",""coordinates"":[[[116.646642,39.914151],[116.647315,39.914217],[116.647414,39.913667],[116.647477,39.913176],[116.647522,39.912878],[116.646866,39.912813],[116.646215,39.91275],[116.645959,39.91273],[116.645914,39.913131],[116.64679,39.913235],[116.646772,39.913453],[116.646704,39.91393],[116.64666,39.914061]]]}",63
"{""type"":""Polygon"",""coordinates"":[[[116.654987,39.913235],[116.655122,39.912384],[116.655526,39.912426],[116.6554,39.913283]]]}",58
"{""type"":""Polygon"",""coordinates"":[[[116.381528,39.901323],[116.381891,39.901319],[116.382255,39.901319],[116.382309,39.901319],[116.382314,39.901098],[116.382314,39.900973],[116.382264,39.900908],[116.38221,39.900894],[116.382152,39.900887],[116.382008,39.900877],[116.381905,39.900859],[116.381739,39.900859],[116.381559,39.900887],[116.381528,39.900915],[116.381532,39.901233]]]}",85
"{""type"":""Polygon"",""coordinates"":[[[116.3391,39.751869],[116.339118,39.748471],[116.342127,39.748381],[116.344544,39.748423],[116.345891,39.748444],[116.345918,39.750968],[116.341382,39.750933],[116.340196,39.751779],[116.340034,39.751876]]]}",10
"{""type"":""Polygon"",""coordinates"":[[[116.310068,39.797192],[116.310495,39.795889],[116.310742,39.79592],[116.310908,39.795421],[116.312341,39.795508],[116.311829,39.797462]]]}",15
"{""type"":""Polygon"",""coordinates"":[[[116.358748,39.963589],[116.35891,39.962642],[116.359004,39.962352],[116.359126,39.961277],[116.359175,39.961149],[116.359579,39.961011],[116.360545,39.961018],[116.360549,39.960883],[116.360891,39.960862],[116.360832,39.960496],[116.360936,39.960496],[116.36103,39.959345],[116.361547,39.959379],[116.361479,39.961388],[116.360958,39.961384],[116.360985,39.962079],[116.361466,39.962072],[116.361416,39.962456],[116.360945,39.962431],[116.36094,39.962518],[116.360599,39.962494],[116.360617,39.962991],[116.359678,39.962964],[116.359683,39.963638]]]}",96
"{""type"":""Polygon"",""coordinates"":[[[116.643018,40.295802],[116.642973,40.293993],[116.64035,40.293917],[116.640206,40.295533],[116.635346,40.295148],[116.635724,40.292617],[116.637592,40.292631],[116.637862,40.288228],[116.64574,40.288297],[116.646171,40.29034],[116.646045,40.295437]]]}",64
"{""type"":""Polygon"",""coordinates"":[[[116.424272,39.859045],[116.426648,39.857657],[116.426581,39.856258],[116.426527,39.856189],[116.426334,39.856165],[116.425346,39.856058],[116.425099,39.856037],[116.424079,39.855964],[116.423702,39.855964],[116.423626,39.855999],[116.423626,39.857107],[116.423671,39.857259],[116.423769,39.857345],[116.42381,39.857422],[116.423819,39.858242],[116.423855,39.858564],[116.423918,39.85872],[116.424021,39.858841]]]}",19
"{""type"":""Polygon"",""coordinates"":[[[116.330939,39.892271],[116.330939,39.892008],[116.330943,39.891603],[116.330948,39.891354],[116.330939,39.891236],[116.331244,39.891236],[116.33124,39.891088],[116.33133,39.891084],[116.331361,39.891084],[116.331343,39.890932],[116.331339,39.890589],[116.332003,39.890562],[116.332017,39.89024],[116.332754,39.890247],[116.333122,39.890243],[116.333117,39.890825],[116.333086,39.891444],[116.333104,39.891527],[116.332857,39.89152],[116.332183,39.891506],[116.332044,39.891527],[116.332057,39.891731],[116.332053,39.892198],[116.332089,39.892285]]]}",37
"{""type"":""Polygon"",""coordinates"":[[[117.135232,40.156554],[117.135237,40.155941],[117.13613,40.155937],[117.13627,40.154611],[117.137375,40.154593],[117.137271,40.156558]]]}",45
"{""type"":""Polygon"",""coordinates"":[[[116.345871,39.866612],[116.345732,39.864452],[116.346657,39.864452],[116.346899,39.864531],[116.347991,39.864556],[116.348022,39.864196],[116.348045,39.864102],[116.348489,39.863919],[116.348934,39.864805],[116.349127,39.866241],[116.346679,39.866317],[116.346643,39.866643]]]}",85
"{""type"":""Polygon"",""coordinates"":[[[116.344351,40.091732],[116.344832,40.089396],[116.344971,40.088713],[116.345101,40.088727],[116.347967,40.088979],[116.350626,40.089207],[116.350316,40.091939],[116.350293,40.09216],[116.349386,40.092115],[116.347401,40.092042]]]}",13
"{""type"":""Polygon"",""coordinates"":[[[116.320427,40.083114],[116.321841,40.081148],[116.323768,40.081741],[116.322596,40.084801],[116.321199,40.083773],[116.320386,40.083176]]]}",51
"{""type"":""Polygon"",""coordinates"":[[[116.446245,39.960665],[116.446892,39.960686],[116.448186,39.960738],[116.449151,39.960758],[116.449866,39.960807],[116.450548,39.960911],[116.450764,39.960993],[116.450935,39.959988],[116.449982,39.95987],[116.448204,39.959756],[116.446371,39.959656]]]}",82
"{""type"":""Polygon"",""coordinates"":[[[116.462253,39.959904],[116.463668,39.961166],[116.462805,39.961736],[116.462338,39.962037],[116.462284,39.962075],[116.461903,39.962089],[116.461382,39.962095],[116.460703,39.962057],[116.460057,39.961988],[116.459828,39.96203],[116.458381,39.960768],[116.457195,39.959721],[116.458112,39.959085],[116.460268,39.960989],[116.460901,39.960668]]]}",83
"{""type"":""Polygon"",""coordinates"":[[[116.395319,39.858048],[116.395341,39.857542],[116.395903,39.857532],[116.395916,39.857203],[116.396365,39.857217],[116.396433,39.857231],[116.396446,39.857622],[116.396028,39.858124],[116.395314,39.858107]]]}",83
"{""type"":""Polygon"",""coordinates"":[[[116.442878,39.879371],[116.443512,39.879246],[116.443543,39.879045],[116.443529,39.878883],[116.443534,39.878526],[116.443512,39.878398],[116.443026,39.878402],[116.442761,39.878426],[116.442761,39.878523]]]}",98
"{""type"":""Polygon"",""coordinates"":[[[116.417672,39.977865],[116.421081,39.977845],[116.421274,39.97799],[116.421341,39.979645],[116.422621,39.979655],[116.422639,39.979282],[116.423982,39.979258],[116.424076,39.97772],[116.42409,39.976694],[116.423299,39.97668],[116.423308,39.975571],[116.421736,39.97554],[116.420003,39.975564],[116.419149,39.975543],[116.418494,39.975533],[116.417721,39.975526],[116.417734,39.975965],[116.41791,39.975982],[116.419953,39.976017],[116.41998,39.976884],[116.421202,39.976867],[116.421184,39.977513],[116.418956,39.977513],[116.418947,39.976822],[116.417721,39.976839]]]}",55
"{""type"":""Polygon"",""coordinates"":[[[116.391228,39.980139],[116.39245,39.980143],[116.392459,39.979852],[116.392611,39.979787],[116.392589,39.979434],[116.391237,39.97941]]]}",73
"{""type"":""Polygon"",""coordinates"":[[[116.479714,39.833771],[116.480105,39.833657],[116.480617,39.833587],[116.4813,39.83356],[116.481681,39.833556],[116.481744,39.831333],[116.480356,39.83151],[116.480262,39.833033],[116.479665,39.833411]]]}",66
"{""type"":""Polygon"",""coordinates"":[[[116.291303,39.934083],[116.291272,39.933561],[116.291254,39.932731],[116.292862,39.93272],[116.292857,39.933837],[116.292179,39.933958]]]}",47
"{""type"":""Polygon"",""coordinates"":[[[116.557751,40.095587],[116.563185,40.095422],[116.563024,40.094152],[116.557634,40.094387]]]}",49
"{""type"":""Polygon"",""coordinates"":[[[116.664429,39.914862],[116.665678,39.914962],[116.665673,39.914561],[116.665157,39.914502],[116.664694,39.914471],[116.66455,39.914454]]]}",12
"{""type"":""Polygon"",""coordinates"":[[[116.307456,39.89746],[116.307411,39.895965],[116.309208,39.896097],[116.309199,39.898048]]]}",2
"{""type"":""Polygon"",""coordinates"":[[[116.35982,39.896543],[116.360179,39.896547],[116.360678,39.896554],[116.360768,39.896564],[116.360817,39.89654],[116.360853,39.896519],[116.360884,39.896422],[116.360925,39.896114],[116.36097,39.895779],[116.361015,39.895564],[116.36101,39.895474],[116.36101,39.895443],[116.360898,39.895426],[116.360723,39.895429],[116.360521,39.895443],[116.360314,39.895443],[116.359977,39.895457],[116.359865,39.895457],[116.359851,39.896156]]]}",18
"{""type"":""Polygon"",""coordinates"":[[[116.34248,39.903862],[116.342462,39.903211],[116.341303,39.903142],[116.341276,39.904132],[116.342426,39.904132],[116.342453,39.904457],[116.344555,39.904305],[116.344537,39.904069],[116.344762,39.904076],[116.344753,39.903357],[116.343181,39.903225],[116.34319,39.903862]]]}",53
"{""type"":""Polygon"",""coordinates"":[[[116.3677,39.944065],[116.368131,39.944117],[116.368549,39.944152],[116.368742,39.944183],[116.368684,39.943495],[116.368697,39.94345],[116.369048,39.943436],[116.369083,39.94309],[116.368598,39.943108],[116.368172,39.943077],[116.367835,39.943063],[116.367552,39.943056],[116.367305,39.943045],[116.367309,39.943581],[116.367408,39.943571],[116.367395,39.943761],[116.367583,39.944]]]}",39
"{""type"":""Polygon"",""coordinates"":[[[115.971771,39.761443],[115.971537,39.761443],[115.97134,39.760313],[115.970872,39.759807],[115.970482,39.75945],[115.969736,39.758809],[115.969431,39.758389],[115.969521,39.757623],[115.972022,39.758403],[115.973945,39.759017],[115.973828,39.759204],[115.972274,39.760902]]]}",67
"{""type"":""Polygon"",""coordinates"":[[[116.343917,39.759081],[116.34495,39.755898],[116.344959,39.755732],[116.34495,39.753576],[116.344959,39.752632],[116.344986,39.752189],[116.345139,39.752008],[116.345956,39.751405],[116.346055,39.75126],[116.346073,39.751128],[116.348247,39.751156],[116.34787,39.755545],[116.347771,39.756703],[116.347609,39.759122]]]}",52
"{""type"":""Polygon"",""coordinates"":[[[116.340454,39.851482],[116.340553,39.850111],[116.342008,39.850035],[116.341047,39.848082],[116.343607,39.848055],[116.344514,39.85016],[116.344882,39.85016],[116.344703,39.851814]]]}",96
"{""type"":""Polygon"",""coordinates"":[[[116.108829,39.943512],[116.109184,39.942544],[116.110751,39.942817],[116.109404,39.943591]]]}",7
