lng,lat
13414592,4289722
13400353,4285938
13405178,4293015
13399257,4289316
13393531,4284953
13399214,4291266
13401348,4292713
13402278,4301848
12948431,4834596
13404375,4287759
13399367,4287055
13399850,4292816
13401395,4285214
13394951,4286219
13404495,4290645
13398671,4286826
13397842,3521643
13396078,4285769
13951384,5410928
13400950,4284346
13412022,4292367
13402695,4318226
13403669,4286066
13111868,4261766
13402233,4286303
13402889,4294700
13402139,4285720
13542471,3462619
13395998,4287241
13400891,4286134
13400402,4294627
13399924,4284231
13385345,4270922
13582674,5073303
13394701,4287032
13393914,4285371
13398533,4290726
13399256,4291282
13401639,4286323
13403233,4287112
13399245,4283780
13397758,4283750
13141194,4392111
13402125,4286333
13403570,4286231
13407536,4290146
12789717,3531322
13382482,4270664
13404728,4284892
12853105,4125346
13401560,4285799
13401610,4284445
13401308,4285343
12621631,2631783
13404691,4320519
13393120,4283879
13397746,4286245
13393465,4284515
13402795,4287919
13401616,4289783
13399259,4291627
13400600,4286195
12720988,3558410
13402353,4286129
13407673,4301212
13377282,4273896
13400293,4285897
13402917,4285446
13400600,4290185
13409177,4290894
13398096,4289354
13401505,4285620
13401809,4288423
13405700,4284632
13402952,4316843
13404700,4286140
13401774,4291439
13401073,4287376
13399506,4289277
12861614,4899704
13048380,4369216
13406979,4285637
13505966,4667853
13392646,4283675
13400711,4289925
13407328,4296560
13403106,4287732
13405937,4298827
13404035,4300112
13406233,4293133
13399496,4287182
13403053,4288277
13400896,4284909
13393393,4284403
13399568,4288885
13396851,4292261
13403659,4285719
13398489,4286570
13398302,4290391
13403199,4289148
13399621,4287782
13396630,4285859
13408855,4287114
12865488,4114173
13406840,4296748
13405831,4299695
13404233,4286733
13409354,4290006
13393007,4283829
13401092,4293141
13406226,4292908
13404813,4301123
13518184,3641739
13401591,4300884
13396052,4286788
13399820,4290538
13047387,4705626
13405715,4297271
13395587,4287470
13402809,4288031
13399044,4287998
13014396,4370150
13401363,4286108
12593521,4303142
13401954,4285475
13400596,4291591
13401340,4294221
13405904,4298462
13404420,4292139
13413929,4297834
13403861,4285181
13401353,4293886
13407792,4285562
13400453,4284811
12217855,4779677
13399532,4289357
13403265,4292207
13365494,4316414
13403227,4286896
13403532,4287473
13399601,4287395
13397892,4291736
13408782,4326613
12949622,4823452
13405128,4291297
13379340,3510931
13404034,4300110
12133715,4042925
13398464,4312985
13029770,4306301
13379947,3515747
13401121,4289461
12057358,2597333
12687793,2560898
13403687,4305474
13396358,4288403
13409926,4291598
12616438,3971214
13146797,2789540
13420570,4451440
13407121,4286141
13404280,4284651
13404543,4284782
13404403,4292127
13440119,4412124
13398892,4287069
13403242,4291888
13397706,4293142
13401287,4301080
13402068,4286447
13401913,4292426
13403109,4291866
13381052,4321244
13392734,4284552
13400934,4289511
13299366,3791140
13402195,4286017
13645051,4435968
13384222,4271459
13405856,4286406
13492919,3618002
13375010,4287493
13402406,4290033
13409705,4297672
13402032,4292601
13401218,4288898
13401262,4286234
13406122,4298465
12953661,4854217
13228896,4273178
13401289,4290320
14099567,5705417
13399228,4291541
13405722,4315863
13399742,4285952
13409896,4288891
13402240,4286355
13402611,4287533
13406101,4293094
13404301,4286400
13408629,4300915
12305904,2384171
13399523,4286995
13404468,4301240
13398153,4294046
13401179,4286057
13404500,4289437
13397362,4287770
13405526,4290299
13398165,4286108
13400926,4289054
13402438,4285855
13405314,4285214
13399558,4290006
13402390,4285937
13402058,4287863
13400849,4290996
13402490,4286083
13402767,4303184
13401157,4285703
13411898,4294902
13395980,4287342
13400352,4290952
13404367,4284559
13405220,4284374
13409982,4299634
12910855,4153300
13400739,4294024
13401439,4292549
13399970,4287285
13402847,4285897
13401443,4285272
13405531,4292254
13400225,4284668
13399807,4288294
13407168,4299329
13406836,4298371
13397998,4288075
13400958,4284976
13398619,4287027
13400894,4285731
13398580,4290619
13400564,4284457
13399875,4292243
13398024,4290041
13397395,4291752
12658197,4102399
13398998,4287851
13400097,4286791
13400705,4286677
13392247,4283830
13401360,4285390
12972383,4826856
13403100,4285687
13401184,4287123
13401323,4285247
13401059,4285701
13402687,4287662
13401950,4285582
12248727,4812160
13411995,4291907
13396134,4285883
13410063,4293038
13401302,4287554
13406766,4295907
13400328,4286895
13400390,4286101
13407084,4286027
13404330,4290593
13393316,4284585
13404450,4292158
13404381,4293790
13403679,4285624
13406519,4291042
13401520,4297370
13168089,4386916
13406826,4300867
13405331,4286110
13400708,4290339
13404130,4287787
13401952,4289863
13059819,4113927
13402876,4287383
13395739,4287441
13402283,4285006
13400114,4285578
13401140,4287510
13400116,4286529
13395860,4286436
13405660,4284888
13392581,4284663
13403487,4284552
13435186,3223697
12483274,3742783
13408201,4298657
13400940,4286417
13400797,4284806
13031556,4365969
13391343,4273484
13401649,4300766
12683589,2559094
12548466,4614394
13403487,4321106
13400419,4285844
13398574,4286171
13410530,4291108
13397474,4287954
13400165,4284742
13402353,4290357
11848943,3427441
11442006,2845569
13404964,4297269
13395441,4285452
13397121,4291723
13401328,4286187
13401919,4292452
13404752,4291921
13398604,4291820
13401410,4288253
13400557,4287426
13396152,4287968
13385995,4272087
13402692,4316345
13404613,4300389
13402186,4286323
12919541,4338138
13397844,4290291
13404223,4285271
13398042,4286381
13407504,4296793
13402534,4285946
13401738,4290173
13401085,4289188
13395930,4287507
13410318,4290987
13404094,4318655
13408439,4297370
13401949,4286168
13406494,4285861
13030976,4133922
13406658,4284581
13379454,3518243
13400435,4291557
13406310,4298599
13401228,4285668
13400758,4284825
13404542,4291116
13413162,4290167
13398370,4289045
13413284,4328683
13399176,4287071
13401855,4291069
13399375,4289186
13401501,4288208
13403212,4302962
13406156,4289817
13397402,4287161
13396492,4285383
13380435,4271434
12827932,4258268
13400946,4286026
13398388,4288716
13406594,4284746
13400484,4284549
13003565,4353342
13406160,4298442
13401583,4289661
13401743,4296026
13395028,4286442
13405394,4312770
13415745,4297976
13401909,4290506
13333165,4410022
13402183,4301791
13414384,4289514
13534687,3648192
13406487,4285863
13566014,5448936
13411458,4298858
13400577,4290319
13400838,4284760
13402089,4291216
13405638,4285122
13404321,4291941
13403192,4285551
13486855,4495086
13415978,4303230
13416322,4301943
13404847,4300421
13406015,4285221
13401424,4298373
13400362,4294592
13035879,4364630
13407206,4296367
12966286,4839320
13405731,4290945
13399517,4294182
13398384,4288001
13392800,4283877
13401079,4286002
13383505,4269852
13033143,4364048
13398471,4292394
13401407,4292928
13407315,4296544
13403865,4299961
13400143,4286875
13399367,4287052
13398385,4291816
13397787,4321929
12947952,4824436
13408381,4296530
13402219,4290581
13398449,4290804
13396420,4286502
13401268,4285342
13404807,4295666
13254978,4371115
13532532,3464440
13401379,4286031
13401752,4286344
13404889,4293098
13401516,4286865
13403847,4291196
13407571,4291711
13028510,4366978
13407903,4300962
11571586,3381875
13403088,4290551
13398595,4287968
13400578,4285624
13399518,4287018
13400473,4290604
14103934,5702064
13396107,4286642
13398945,4286268
13400309,4286579
13409476,4288455
13401452,4292545
13389071,3685487
13400336,4284352
13408363,4296415
13400026,4286229
13397571,4290770
13262844,4118301
13399574,4289850
13399962,4287118
13401016,4286706
13403394,4284904
13395734,4287761
13393142,4284419
13408062,4291212
13402181,4285299
13396171,4286984
13392749,4284708
13401197,4292331
13400801,4287962
13400760,4286021
13403821,4285880
13400064,4285553
13413249,4290015
13398104,4289343
13326527,3511689
13190437,4479120
13406653,4300949
13365603,4406266
13362714,4257491
13395233,4286833
13400192,4288953
13401199,4286066
13403446,4287583
12849679,4329475
13193137,4481351
13406340,4286016
13392319,4283908
13396103,4285791
13401876,4287611
13400629,4288880
13399007,4286856
13403188,4288313
13400583,4285550
13404232,4312926
13395553,4287552
13402303,4286005
13406416,4308423
13404667,4290122
13407702,4296766
13027497,4362714
13403845,4286521
13404548,4284861
13407224,4329530
13403521,4284303
13397984,4292739
13419672,4292392
13390558,4329252
13402790,4287391
13409167,4288112
13406381,4297463
13414576,4289723
13394408,4285514
13405302,4285876
13404419,4287519
13402931,4294766
13400520,4286632
13405922,4284717
12969023,4827348
12710063,2563247
13400991,4295243
13404044,4285990
13407030,4293035
13405607,4310686
13400941,4284954
13404622,4286746
13401326,4285214
13401288,4285279
13404291,4293227
13394410,4285397
13418528,4290920
13403638,4285981
13400134,4288517
12945986,4826054
13537411,3644582
13400213,4286940
13400836,4288418
13398840,4288000
12744540,4422187
13401321,4285254
13403997,4286263
13401740,4292690
13521926,3636461
13405761,4289556
13402391,4287468
13377725,4273733
12610240,2606667
13400723,4286732
13402853,4290597
13405462,4291717
13409735,4293903
13391664,4282591
13400139,4288087
13400629,4285950
13403992,4299402
13403459,4285419
13399421,4294146
13401958,4286078
13405464,4286832
13406318,4298621
12608610,2660328
13406544,4296066
13397339,4291388
13396185,4288146
13402182,4285583
13143550,4387905
13410612,4300729
13397246,4286580
13402908,4287845
13393213,4284084
13403623,4284904
13398282,4293891
13401014,4289656
13403610,4301753
13407573,4291769
13402604,4318417
13405683,4284634
13400084,4286143
13409888,4287839
13404097,4286665
13401323,4285014
13411977,4292415
13400227,4291326
13385641,4270375
13392304,4284064
13401697,4284340
13392628,4284096
13050223,3395527
13406066,4289295
13399691,4286726
13394570,4287128
13409779,4297505
13401308,4285442
13406101,4284892
13405262,4297751
13402955,4286010
13399926,4286223
13401191,4285050
12614180,2628166
13404615,4293594
13412829,4290780
13403411,4288755
13402350,4286771
13398844,4288580
13392914,4284905
13396485,4288221
9754900,5407206
14091619,5708258
13401122,4284473
13395981,4285517
13529614,4400159
13405863,4291166
13402023,4291084
13397059,4287093
13403705,4300566
13401402,4285211
13298452,4196732
13052216,4716714
13400239,4291352
13402112,4285777
13393405,4284518
13404801,4290125
13401063,4290816
13403274,4302388
13401802,4287859
13403881,4302054
13403478,4292322
13400876,4295344
13399562,4287341
13021758,4365081
13393541,4283881
13413155,4290237
13403820,4302326
13402043,4286392
13392907,4283700
13404016,4286323
13400088,4291861
13406541,4284515
13399407,4283639
13404981,4297476
13396549,4286397
13372812,4276995
13094749,4179917
13401792,4287858
13401433,4285011
13475367,3626074
13400715,4293296
13407884,4308446
12955784,4835918
13401495,4286977
