from,to,count
临沂市,济南市,13306
广州市,东莞市,13293
邵阳市,深圳市,13268
贵阳市,毕节地区,13265
临汾市,太原市,13255
泰州市,苏州市,13228
深圳市,广州市,13158
武汉市,黄冈市,13042
包头市,呼和浩特市,13036
鞍山市,沈阳市,13000
成都市,绵阳市,12984
阜阳市,上海市,12907
镇江市,南京市,12903
朔州市,大同市,12861
汉中市,西安市,12844
三明市,福州市,12829
安康市,西安市,12781
大庆市,哈尔滨市,12656
随州市,武汉市,12622
韶关市,佛山市,12591
保定市,天津市,12586
延安市,西安市,12560
潍坊市,济南市,12507
宿迁市,南京市,12501
云浮市,佛山市,12379
乌兰察布市,包头市,12373
呼和浩特市,包头市,12368
亳州市,阜阳市,12286
云浮市,肇庆市,12245
长沙市,湘潭市,12231
莆田市,福州市,12215
宿州市,合肥市,12214
大同市,朔州市,12212
蚌埠市,滁州市,12210
长沙市,株洲市,12173
南通市,南京市,12116
汕头市,深圳市,12108
抚州市,南昌市,12047
泰州市,上海市,12000
青岛市,烟台市,11961
保山市,大理白族自治州,11924
连云港市,苏州市,11910
乌鲁木齐市,昌吉回族自治州,11868
无锡市,苏州市,11849
河源市,广州市,11839
德阳市,绵阳市,11838
无锡市,上海市,11833
汕头市,广州市,11824
长沙市,岳阳市,11807
宁波市,上海市,11804
常州市,无锡市,11801
嘉兴市,上海市,11774
泰州市,无锡市,11753
青岛市,潍坊市,11728
绵阳市,德阳市,11687
大理白族自治州,丽江市,11608
郑州市,洛阳市,11595
三明市,厦门市,11531
太原市,吕梁市,11523
黔东南苗族侗族自治州,贵阳市,11523
嘉兴市,杭州市,11490
河池市,柳州市,11453
菏泽市,济宁市,11415
贵阳市,黔南布依族苗族自治州,11406
汕头市,揭阳市,11366
鄂州市,武汉市,11345
揭阳市,东莞市,11295
安阳市,鹤壁市,11278
泸州市,遵义市,11256
银川市,吴忠市,11248
重庆市,泸州市,11184
宿州市,淮北市,11180
桂林市,南宁市,11138
河源市,东莞市,11138
长春市,四平市,11068
中卫市,银川市,11039
运城市,临汾市,11015
保山市,德宏傣族景颇族自治州,10984
阿坝藏族羌族自治州,成都市,10968
濮阳市,郑州市,10964
贵港市,佛山市,10944
西宁市,海东地区,10942
亳州市,合肥市,10882
温州市,杭州市,10878
石家庄市,邢台市,10780
中山市,珠海市,10760
昆明市,玉溪市,10695
桂林市,贺州市,10664
漯河市,郑州市,10652
大理白族自治州,楚雄彝族自治州,10644
无锡市,常州市,10638
邢台市,邯郸市,10599
辽阳市,沈阳市,10588
恩施土家族苗族自治州,重庆市,10586
扬州市,上海市,10580
长治市,太原市,10540
巢湖市,芜湖市,10518
文山壮族苗族自治州,昆明市,10506
遂宁市,绵阳市,10477
阳江市,广州市,10473
宜昌市,武汉市,10471
昆明市,楚雄彝族自治州,10425
滨州市,济南市,10407
苏州市,无锡市,10401
西安市,宝鸡市,10397
北京市,张家口市,10388
泰州市,扬州市,10372
驻马店市,信阳市,10367
江门市,佛山市,10363
天水市,兰州市,10350
邵阳市,娄底市,10347
合肥市,巢湖市,10331
阜新市,沈阳市,10268
来宾市,南宁市,10241
亳州市,滁州市,10228
菏泽市,青岛市,10203
天津市,廊坊市,10175
邵阳市,东莞市,10173
台州市,杭州市,10161
湖州市,杭州市,10151
泰州市,南京市,10145
徐州市,南京市,10139
广元市,绵阳市,10131
荆州市,岳阳市,10130
杭州市,绍兴市,10115
永州市,衡阳市,10049
昆明市,红河哈尼族彝族自治州,10029
揭阳市,汕尾市,9999
长沙市,益阳市,9953
贵港市,玉林市,9925
上饶市,杭州市,9899
连云港市,盐城市,9897
巴彦淖尔市,包头市,9872
赣州市,深圳市,9863
淮北市,宿州市,9838
成都市,南充市,9830
巴中市,重庆市,9828
大庆市,绥化市,9824
恩施土家族苗族自治州,宜昌市,9819
厦门市,漳州市,9816
葫芦岛市,沈阳市,9788
吉安市,南昌市,9766
玉林市,深圳市,9764
黔南布依族苗族自治州,黔东南苗族侗族自治州,9759
榆林市,西安市,9756
德州市,北京市,9740
邯郸市,邢台市,9739
榆林市,鄂尔多斯市,9716
枣庄市,济宁市,9713
玉林市,东莞市,9713
汕头市,潮州市,9712
滨州市,淄博市,9711
临汾市,运城市,9686
南宁市,崇左市,9685
广州市,惠州市,9680
益阳市,岳阳市,9677
沈阳市,铁岭市,9674
威海市,烟台市,9674
淄博市,济南市,9663
烟台市,威海市,9662
阜阳市,亳州市,9647
沧州市,石家庄市,9643
湖北省直辖县级行政单位,荆州市,9638
宜宾市,泸州市,9626
佳木斯市,哈尔滨市,9598
宁波市,杭州市,9559
衡阳市,深圳市,9558
安阳市,新乡市,9554
牡丹江市,哈尔滨市,9535
湛江市,佛山市,9508
西双版纳傣族自治州,昆明市,9498
宿州市,苏州市,9487
上饶市,景德镇市,9478
永州市,长沙市,9471
本溪市,沈阳市,9456
泉州市,福州市,9442
成都市,雅安市,9433
六盘水市,贵阳市,9423
沧州市,保定市,9414
茂名市,佛山市,9400
深圳市,香港特别行政区,9396
乐山市,眉山市,9377
文山壮族苗族自治州,红河哈尼族彝族自治州,9373
衡阳市,永州市,9350
玉林市,贵港市,9340
韶关市,深圳市,9292
长春市,松原市,9287
铜川市,西安市,9278
淮安市,上海市,9273
梅州市,佛山市,9255
毕节地区,遵义市,9245
绍兴市,宁波市,9239
眉山市,乐山市,9225
南昌市,宜春市,9200
荆州市,湖北省直辖县级行政单位,9195
盐城市,常州市,9195
怀化市,长沙市,9184
普洱市,西双版纳傣族自治州,9179
蚌埠市,合肥市,9154
郴州市,韶关市,9146
赣州市,广州市,9123
济南市,德州市,9109
贵港市,梧州市,9097
汕尾市,广州市,9035
南京市,上海市,9031
吕梁市,晋中市,9022
淮安市,扬州市,9014
贵阳市,安顺市,9002
太原市,忻州市,8999
丹东市,沈阳市,8988
香港特别行政区,深圳市,8985
济宁市,青岛市,8984
周口市,商丘市,8979
三门峡市,郑州市,8945
桂林市,柳州市,8932
北海市,南宁市,8924
信阳市,上海市,8915
杭州市,嘉兴市,8905
巴中市,达州市,8890
西双版纳傣族自治州,普洱市,8886
凉山彝族自治州,雅安市,8882
内江市,资阳市,8836
韶关市,清远市,8799
成都市,西安市,8755
许昌市,平顶山市,8744
珠海市,中山市,8743
宝鸡市,咸阳市,8733
湛江市,东莞市,8721
柳州市,南宁市,8716
徐州市,宿州市,8713
郴州市,衡阳市,8706
三明市,泉州市,8694
黄冈市,九江市,8683
郑州市,新乡市,8648
绍兴市,上海市,8648
保定市,廊坊市,8639
郴州市,长沙市,8634
永州市,东莞市,8630
安庆市,上海市,8597
厦门市,泉州市,8592
滨州市,东营市,8591
邵阳市,桂林市,8589
荆州市,宜昌市,8584
济宁市,枣庄市,8568
西安市,延安市,8549
营口市,沈阳市,8538
黔东南苗族侗族自治州,黔南布依族苗族自治州,8534
宿州市,滁州市,8492
内江市,自贡市,8491
衡阳市,清远市,8443
六盘水市,毕节地区,8425
昭通市,宜宾市,8425
白城市,长春市,8409
新乡市,开封市,8401
大同市,北京市,8401
周口市,阜阳市,8400
吉安市,深圳市,8385
镇江市,常州市,8373
安庆市,池州市,8369
营口市,大连市,8354
商丘市,苏州市,8352
贵阳市,遵义市,8328
重庆市,贵阳市,8293
自贡市,重庆市,8265
三门峡市,洛阳市,8261
柳州市,来宾市,8228
杭州市,金华市,8221
鞍山市,大连市,8210
唐山市,秦皇岛市,8193
宿迁市,上海市,8188
汕尾市,惠州市,8177
秦皇岛市,唐山市,8176
宜宾市,昭通市,8161
银川市,石嘴山市,8158
包头市,鄂尔多斯市,8155
运城市,太原市,8145
邵阳市,衡阳市,8132
六安市,苏州市,8130
德宏傣族景颇族自治州,保山市,8128
新乡市,焦作市,8123
鄂尔多斯市,榆林市,8121
安阳市,濮阳市,8109
天津市,唐山市,8101
徐州市,上海市,8088
衡阳市,株洲市,8086
烟台市,济南市,8079
莆田市,厦门市,8074
资阳市,内江市,8072
淮安市,无锡市,8060
绵阳市,重庆市,8055
遵义市,铜仁地区,8054
宣城市,上海市,8050
商丘市,周口市,8048
天津市,沧州市,8035
榆林市,延安市,8035
佛山市,肇庆市,8031
上海市,杭州市,8024
巢湖市,上海市,7995
惠州市,河源市,7984
菏泽市,北京市,7969
哈尔滨市,大庆市,7959
普洱市,昆明市,7956
泰安市,青岛市,7947
大同市,太原市,7940
周口市,滁州市,7919
扬州市,泰州市,7916
郑州市,许昌市,7914
周口市,北京市,7888
济宁市,菏泽市,7871
西安市,商洛市,7841
廊坊市,保定市,7838
自贡市,内江市,7824
十堰市,襄樊市,7812
秦皇岛市,北京市,7778
济南市,泰安市,7764
南阳市,襄樊市,7755
信阳市,六安市,7752
平顶山市,许昌市,7702
凉山彝族自治州,攀枝花市,7683
赤峰市,北京市,7683
成都市,内江市,7679
长春市,哈尔滨市,7643
大连市,沈阳市,7625
西安市,成都市,7623
娄底市,邵阳市,7585
重庆市,资阳市,7567
巴彦淖尔市,呼和浩特市,7552
常州市,上海市,7549
岳阳市,益阳市,7548
湘潭市,株洲市,7523
成都市,遂宁市,7490
广安市,南充市,7485
遵义市,泸州市,7453
昭通市,毕节地区,7448
咸阳市,宝鸡市,7447
武威市,兰州市,7445
宜宾市,自贡市,7441
铜仁地区,遵义市,7435
宜昌市,荆州市,7431
黔西南布依族苗族自治州,贵阳市,7423
红河哈尼族彝族自治州,玉溪市,7421
通化市,长春市,7409
巢湖市,南京市,7404
黄冈市,深圳市,7394
红河哈尼族彝族自治州,文山壮族苗族自治州,7393
邵阳市,怀化市,7385
北京市,石家庄市,7382
衡水市,天津市,7375
永州市,肇庆市,7374
南京市,镇江市,7362
池州市,安庆市,7353
淄博市,滨州市,7346
南宁市,钦州市,7337
南宁市,百色市,7328
塔城地区,乌鲁木齐市,7309
辽阳市,鞍山市,7307
齐齐哈尔市,大庆市,7294
伊犁哈萨克自治州,乌鲁木齐市,7269
哈尔滨市,长春市,7264
焦作市,新乡市,7257
广州市,珠海市,7253
洛阳市,三门峡市,7243
郑州市,周口市,7242
遵义市,毕节地区,7228
连云港市,淮安市,7216
泸州市,宜宾市,7215
漳州市,泉州市,7214
连云港市,南京市,7212
宜春市,新余市,7203
丽水市,杭州市,7201
柳州市,桂林市,7192
衡阳市,东莞市,7182
毕节地区,安顺市,7175
阜阳市,滁州市,7169
日照市,临沂市,7149
平顶山市,洛阳市,7146
巴彦淖尔市,鄂尔多斯市,7134
中山市,广州市,7131
驻马店市,周口市,7121
临沂市,日照市,7117
十堰市,武汉市,7110
昭通市,曲靖市,7107
重庆市,南充市,7100
益阳市,常德市,7079
永州市,深圳市,7079
滁州市,上海市,7078
泉州市,漳州市,7068
贺州市,肇庆市,7065
郴州市,东莞市,7061
南充市,绵阳市,7059
昆明市,大理白族自治州,7041
黄冈市,黄石市,7030
渭南市,咸阳市,7014
玉林市,茂名市,7002
新乡市,鹤壁市,6997
长沙市,衡阳市,6993
郴州市,广州市,6991
扬州市,苏州市,6984
宿州市,上海市,6976
温州市,上海市,6958
泰安市,济宁市,6950
聊城市,北京市,6947
肇庆市,云浮市,6926
钦州市,北海市,6913
常德市,益阳市,6911
襄樊市,十堰市,6896
亳州市,上海市,6889
珠海市,广州市,6881
南宁市,河池市,6879
周口市,漯河市,6862
固原市,银川市,6841
清远市,韶关市,6840
揭阳市,惠州市,6840
晋中市,吕梁市,6826
枣庄市,济南市,6822
邯郸市,天津市,6803
信阳市,驻马店市,6800
绵阳市,遂宁市,6788
淮安市,宿迁市,6779
运城市,西安市,6778
淄博市,潍坊市,6776
抚州市,赣州市,6748
宜春市,赣州市,6733
商丘市,开封市,6711
龙岩市,福州市,6696
潍坊市,淄博市,6693
临沧市,大理白族自治州,6691
贵港市,广州市,6659
阳江市,江门市,6653
临夏回族自治州,兰州市,6644
南宁市,贵港市,6639
铜仁地区,重庆市,6637
衡水市,沧州市,6622
周口市,驻马店市,6617
湖州市,上海市,6607
南宁市,柳州市,6598
信阳市,北京市,6597
赣州市,南昌市,6590
衡水市,德州市,6585
自贡市,宜宾市,6584
滁州市,蚌埠市,6579
福州市,宁德市,6561
张家界市,湘西土家族苗族自治州,6554
鄂州市,黄石市,6549
鄂尔多斯市,包头市,6546
常州市,南京市,6524
济宁市,泰安市,6523
驻马店市,漯河市,6496
南充市,广安市,6490
邵阳市,清远市,6478
上海市,嘉兴市,6477
宿迁市,徐州市,6454
阜阳市,周口市,6441
安阳市,邯郸市,6423
周口市,开封市,6423
赣州市,东莞市,6421
沧州市,廊坊市,6406
娄底市,衡阳市,6395
葫芦岛市,锦州市,6394
济宁市,临沂市,6372
防城港市,南宁市,6367
赣州市,吉安市,6357
广元市,南充市,6354
武汉市,咸宁市,6344
荆州市,常德市,6343
潮州市,广州市,6342
贵港市,中山市,6336
泰州市,常州市,6334
福州市,厦门市,6333
泰州市,南通市,6332
临沂市,潍坊市,6331
攀枝花市,凉山彝族自治州,6324
南充市,广元市,6321
蚌埠市,上海市,6321
邵阳市,广州市,6308
延安市,榆林市,6304
遵义市,黔南布依族苗族自治州,6299
南昌市,九江市,6292
清远市,深圳市,6278
黄山市,杭州市,6271
丹东市,大连市,6267
宿州市,宿迁市,6261
六安市,巢湖市,6260
鹤壁市,安阳市,6257
潍坊市,烟台市,6255
双鸭山市,哈尔滨市,6254
韶关市,东莞市,6240
张家界市,常德市,6207
云浮市,深圳市,6204
鸡西市,哈尔滨市,6203
清远市,东莞市,6184
宣城市,芜湖市,6183
莆田市,泉州市,6181
濮阳市,安阳市,6173
梧州市,佛山市,6171
永州市,郴州市,6168
岳阳市,株洲市,6163
常州市,镇江市,6159
邯郸市,安阳市,6158
枣庄市,临沂市,6145
杭州市,宁波市,6138
通辽市,赤峰市,6132
宿州市,蚌埠市,6125
成都市,阿坝藏族羌族自治州,6120
乌兰察布市,大同市,6114
泰州市,盐城市,6111
台州市,上海市,6101
梅州市,河源市,6093
贵港市,柳州市,6091
伊春市,哈尔滨市,6081
鹤壁市,郑州市,6063
茂名市,云浮市,6060
周口市,上海市,6052
淮安市,常州市,6045
阳泉市,太原市,6044
上饶市,衢州市,6032
南宁市,玉林市,6029
重庆市,内江市,6020
永州市,桂林市,6017
新疆维吾尔自治区直辖县级行政单位,乌鲁木齐市,6014
广州市,韶关市,6012
盐城市,淮安市,6000
玉林市,广州市,5987
郴州市,深圳市,5987
黄石市,鄂州市,5976
北京市,上海市,5965
玉溪市,红河哈尼族彝族自治州,5964
青岛市,济南市,5958
巴中市,南充市,5947
宜春市,吉安市,5945
保定市,沧州市,5941
泉州市,莆田市,5938
茂名市,中山市,5928
朔州市,太原市,5924
广州市,江门市,5921
景德镇市,上饶市,5920
郴州市,清远市,5918
鞍山市,辽阳市,5911
黑河市,哈尔滨市,5909
广州市,肇庆市,5908
湖北省直辖县级行政单位,荆门市,5908
商丘市,上海市,5901
沈阳市,抚顺市,5895
赤峰市,承德市,5895
鄂尔多斯市,呼和浩特市,5883
呼伦贝尔市,齐齐哈尔市,5875
驻马店市,北京市,5868
昭通市,重庆市,5859
舟山市,宁波市,5854
南通市,无锡市,5852
南平市,厦门市,5836
达州市,恩施土家族苗族自治州,5835
重庆市,宜昌市,5828
德州市,青岛市,5827
重庆市,深圳市,5822
合肥市,上海市,5814
海口市,湛江市,5809
湛江市,中山市,5788
梧州市,广州市,5786
台州市,温州市,5784
张家界市,长沙市,5765
濮阳市,聊城市,5763
合肥市,滁州市,5761
佛山市,江门市,5753
湘西土家族苗族自治州,怀化市,5751
重庆市,西安市,5751
石家庄市,衡水市,5749
双鸭山市,佳木斯市,5748
重庆市,遂宁市,5746
随州市,孝感市,5746
娄底市,湘潭市,5739
阜阳市,六安市,5732
贺州市,梧州市,5712
上海市,南通市,5710
漯河市,许昌市,5701
茂名市,阳江市,5688
曲靖市,红河哈尼族彝族自治州,5683
沈阳市,辽阳市,5678
绵阳市,广元市,5671
达州市,广安市,5657
宿迁市,无锡市,5649
钦州市,东莞市,5648
南京市,滁州市,5647
玉林市,湛江市,5642
北京市,承德市,5631
哈尔滨市,北京市,5629
滁州市,苏州市,5617
新乡市,安阳市,5606
临沂市,上海市,5562
张家口市,大同市,5557
湘西土家族苗族自治州,长沙市,5539
武汉市,湖北省直辖县级行政单位,5533
怀化市,邵阳市,5522
株洲市,湘潭市,5516
信阳市,武汉市,5516
玉林市,佛山市,5511
驻马店市,南阳市,5510
阳江市,深圳市,5499
信阳市,苏州市,5491
沈阳市,大连市,5489
马鞍山市,南京市,5487
阳江市,佛山市,5485
南阳市,平顶山市,5481
呼和浩特市,鄂尔多斯市,5480
巢湖市,马鞍山市,5474
宿迁市,常州市,5463
沧州市,德州市,5461
上饶市,鹰潭市,5457
黄冈市,安庆市,5457
衢州市,金华市,5450
茂名市,玉林市,5442
龙岩市,漳州市,5430
珠海市,澳门特别行政区,5428
江门市,珠海市,5420
杭州市,湖州市,5414
郑州市,平顶山市,5399
大同市,乌兰察布市,5394
威海市,青岛市,5393
南京市,苏州市,5360
宁波市,台州市,5358
常德市,荆州市,5357
湛江市,珠海市,5348
茂名市,珠海市,5330
佛山市,清远市,5320
永州市,广州市,5312
清远市,肇庆市,5300
重庆市,铜仁地区,5299
辽源市,长春市,5294
南阳市,驻马店市,5291
红河哈尼族彝族自治州,曲靖市,5288
廊坊市,沧州市,5285
福州市,南平市,5280
贵港市,东莞市,5279
六盘水市,黔西南布依族苗族自治州,5277
陇南市,天水市,5266
成都市,达州市,5263
临沂市,枣庄市,5263
池州市,合肥市,5263
成都市,广元市,5259
锦州市,盘锦市,5252
金华市,上海市,5252
潍坊市,东营市,5250
晋中市,阳泉市,5241
无锡市,南京市,5234
肇庆市,中山市,5233
宜春市,深圳市,5232
荆门市,湖北省直辖县级行政单位,5216
烟台市,潍坊市,5212
淮安市,盐城市,5212
宁波市,绍兴市,5206
铜仁地区,黔东南苗族侗族自治州,5206
上饶市,上海市,5199
温州市,台州市,5198
新余市,宜春市,5183
日照市,潍坊市,5165
济南市,青岛市,5158
广州市,中山市,5151
巴彦淖尔市,乌海市,5147
阳江市,中山市,5147
广元市,重庆市,5144
成都市,凉山彝族自治州,5143
昭通市,凉山彝族自治州,5131
锦州市,葫芦岛市,5128
凉山彝族自治州,昭通市,5122
焦作市,洛阳市,5117
连云港市,常州市,5116
齐齐哈尔市,呼伦贝尔市,5109
六盘水市,曲靖市,5106
盐城市,扬州市,5106
丽江市,昆明市,5104
武汉市,荆州市,5103
徐州市,淮安市,5097
聊城市,濮阳市,5093
昆明市,昭通市,5091
玉林市,北海市,5091
石家庄市,天津市,5090
朝阳市,大连市,5086
攀枝花市,成都市,5081
达州市,巴中市,5073
淄博市,青岛市,5069
成都市,自贡市,5065
萍乡市,株洲市,5059
丽水市,温州市,5054
朝阳市,赤峰市,5034
苏州市,南京市,5029
芜湖市,上海市,5024
常德市,深圳市,5023
汕尾市,东莞市,5019
广安市,达州市,5014
漳州市,福州市,5013
赤峰市,通辽市,5009
贵港市,深圳市,5009
洛阳市,平顶山市,5008
南昌市,抚州市,5001
南宁市,深圳市,4997
揭阳市,潮州市,4991
沈阳市,鞍山市,4979
玉林市,柳州市,4975
南宁市,广州市,4958
菏泽市,上海市,4957
上海市,无锡市,4955
佛山市,深圳市,4946
毕节地区,昭通市,4935
黄冈市,上海市,4932
南通市,泰州市,4927
中山市,佛山市,4925
盐城市,连云港市,4925
镇江市,上海市,4923
怀化市,深圳市,4920
南阳市,信阳市,4913
江门市,中山市,4909
南平市,泉州市,4908
德州市,沧州市,4907
襄樊市,南阳市,4905
江门市,深圳市,4899
郑州市,南阳市,4897
怀化市,桂林市,4897
营口市,鞍山市,4885
济南市,北京市,4885
六盘水市,安顺市,4875
兰州市,白银市,4871
安庆市,巢湖市,4871
芜湖市,巢湖市,4869
沧州市,衡水市,4866
鞍山市,营口市,4853
长沙市,常德市,4850
徐州市,无锡市,4848
平凉市,兰州市,4847
乐山市,重庆市,4846
郑州市,焦作市,4844
南京市,扬州市,4841
潍坊市,北京市,4830
泰安市,北京市,4826
丽水市,金华市,4823
开封市,商丘市,4821
武汉市,鄂州市,4816
常州市,苏州市,4809
酒泉市,嘉峪关市,4795
阳泉市,晋中市,4794
连云港市,宿迁市,4793
恩施土家族苗族自治州,武汉市,4792
南宁市,东莞市,4789
临汾市,晋中市,4788
成都市,宜宾市,4782
承德市,唐山市,4777
湘潭市,衡阳市,4777
怀化市,湘西土家族苗族自治州,4768
咸阳市,渭南市,4756
哈尔滨市,佳木斯市,4754
玉林市,梧州市,4749
邢台市,天津市,4740
济宁市,北京市,4733
郴州市,永州市,4731
烟台市,北京市,4721
上海市,南京市,4712
南宁市,桂林市,4711
黔西南布依族苗族自治州,六盘水市,4711
株洲市,衡阳市,4709
亳州市,蚌埠市,4700
南阳市,北京市,4696
龙岩市,泉州市,4693
延边朝鲜族自治州,长春市,4691
宣城市,合肥市,4686
聊城市,德州市,4678
重庆市,昆明市,4678
周口市,许昌市,4669
唐山市,石家庄市,4667
安顺市,六盘水市,4663
中卫市,吴忠市,4661
连云港市,无锡市,4660
北京市,唐山市,4655
商丘市,宿州市,4655
云浮市,东莞市,4655
南充市,巴中市,4653
株洲市,深圳市,4652
常德市,张家界市,4649
梧州市,贵港市,4648
海口市,三亚市,4647
东营市,滨州市,4637
衡水市,保定市,4637
济南市,淄博市,4631
合肥市,安庆市,4625
张家口市,石家庄市,4623
包头市,巴彦淖尔市,4619
许昌市,漯河市,4617
商丘市,滁州市,4617
泉州市,三明市,4615
常德市,东莞市,4594
湘西土家族苗族自治州,张家界市,4592
肇庆市,深圳市,4592
长治市,晋城市,4583
